School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609788,Barnard,Alice L Barnard Computer Math & Science Ctr ES,10354 S Charles St,Chicago,IL,60643,(773) 535-2625,http://www.barnard.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,49.8,59.1,31.3,51.7,52.9,53.6,71.4,51.7,52.4,31.3,44.8,35.3,53.6,76.2,48,Below Average,40.8,43.5,21.2,43.3,23.5,50,40.9,37.4,54.5,30.3,46.7,23.5,53.3,54.5,44.2,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Strong,100,84.8,1.6,1.9,95.6,92.6,95,93.8,No,No,1168627.899,1835867.534,-87.65811642,41.70514024,"(-87.65811642, 41.70514024)"
609789,Barry,John Barry Elementary School,2828 N Kilbourn Ave,Chicago,IL,60641,(773) 534-3455,http://barryelementaryschool.blogspot.com/,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,56.2,50,52,45.2,76.6,,,53.3,48.5,68,64.3,57.4,,,59,Below Average,39.6,33,33.3,20.7,33.3,,,29.7,34.3,47.4,62.1,62.5,,,49.5,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Strong,44.7,94.4,2.5,1.4,95.1,93,96.1,95.9,No,No,1145852.597,1918556.652,-87.73942514,41.93251118,"(-87.73942514, 41.93251118)"
609790,Barton,Clara Barton Elementary School,7650 S Wolcott Ave,Chicago,IL,60620,(773) 535-3260,http://www.bartonschool.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,40.7,39,17,46.2,42.9,43.6,48.1,40.1,47.3,25.5,60.6,36.5,31.3,36.2,41.3,Far Below Average,23.4,21.3,5.7,33.3,10.5,31,24.1,21.6,22.5,13.5,50.7,14.8,26,17.3,25.2,Organized,Neutral,Neutral,Neutral,Neutral,Strong,Weak,90,58.5,2.1,1.8,91.7,92.1,96.4,95.9,No,No,1164981.896,1853724.297,-87.67096453,41.75421962,"(-87.67096453, 41.75421962)"
609791,Bass,Perkins Bass Elementary School,1140 W 66th St,Chicago,IL,60621,(773) 535-3275,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 2,Yes,17,Scantron,Average,46.2,31.8,41.7,40.7,45,58.3,42.9,43.5,59.1,37.5,32,57.9,72.7,39.3,49.1,Far Below Average,18.7,33.3,13.6,8.8,12.2,20,23.3,17.4,11.1,18.4,19.4,22.5,33.3,16.7,20,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,96.8,92.2,2.6,2.6,92.1,90.7,96.4,95.7,No,No,1169677.933,1861068.943,-87.65354234,41.77427377,"(-87.65354234, 41.77427377)"
609792,Bateman,Newton Bateman Elementary School,4220 N Richmond St,Chicago,IL,60618,(773) 534-5055,http://www.batemanschool.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,63.3,58.2,57.8,52.6,68.6,75.3,62.3,62.5,63.2,69.6,60.5,65.1,61.2,64.9,64,Average,48.5,35.4,46.4,26.3,50,62.4,57.1,46,35.7,54.8,44.6,46,64.7,64.1,51.1,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,,,,,96.2,95,96.7,96.2,Pending,No,1155915.849,1928001.212,-87.70218806,41.95823045,"(-87.70218806, 41.95823045)"
609793,Nicholson Tech Acad,Nicholson Technology Academy,6006 S Peoria St,Chicago,IL,60621,(773) 535-3285,http://www.nicholsontech.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 1,No,0,Scantron,Average,51.5,57.1,58.5,44.2,32.4,63.9,35.1,48.9,47.5,79.5,44.2,52.8,46.2,51.4,54,Average,46.9,36.2,32,29.8,13.5,52.5,36.8,33.6,44.4,58.3,69.6,57.9,67.4,64.9,60.3,Organized,Weak,Very Strong,Very Strong,Neutral,Neutral,Neutral,93.1,100,4.7,3.8,93.4,92.5,97,96.2,No,No,1171298.247,1864964.268,-87.64748868,41.7849277,"(-87.64748868, 41.7849277)"
609794,"Edison, T",Thomas A Edison Regional Gifted Center ES,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-0540,http://www.edisongifted.net/,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,65.8,46.7,63.3,75,71.9,70,74.1,66.9,51.9,50,61.3,72.4,90,61.5,64.7,Far Above Average,96.3,93.3,96.7,93.8,100,100,100,97.2,88.9,93.3,93.5,100,96.7,100,95.4,Organized,Not Enough Data,Very Strong,Very Strong,Not Enough Data,Not Enough Data,Very Strong,,,,,96.6,97.2,96.3,95.3,No,No,1153858.196,1932691.891,-87.70962725,41.9711433,"(-87.70962725, 41.9711433)"
609795,"Clark, G",George Rogers Clark Elementary School,1045 S Monitor Ave,Chicago,IL,60644,(773) 534-6225,,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,66.3,56.7,33.3,75,71,65.2,88.9,66.7,56.7,83.3,87,53.3,68.2,58.3,66,Above Average,64.5,66.7,36.8,50,34.4,76.9,75,57.2,56.7,63.2,91.3,71,76.9,76,72.1,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Weak,46,58.3,1.8,2.5,93.9,95,96.4,95.6,No,No,1137583.968,1894930.877,-87.77038158,41.8678323,"(-87.77038158, 41.8678323)"
609796,Beaubien,Jean Baptiste Beaubien Elementary School,5025 N Laramie Ave,Chicago,IL,60630,(773) 534-3500,http://www.beaubienelementary.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,60.8,47.3,64.9,55.7,57.8,50.9,53.7,55.3,49.1,68,67.8,80.5,62.6,68.9,66.3,Above Average,69.5,67.5,72.2,63.6,73.2,72.2,74,70.5,64.6,67.4,61.9,74.8,63.2,78.7,68.6,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Strong,68.1,74.5,1.1,1.4,95.7,95.4,96.3,96.6,No,No,1140829.242,1933051.044,-87.75752776,41.97237914,"(-87.75752776, 41.97237914)"
609797,Beidler,Jacob Beidler Elementary School,3151 W Walnut St,Chicago,IL,60612,(773) 534-6811,http://www.beidler.cps.k12.il.us,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 3,Yes,1,Scantron,Above Average,66.6,54.1,70.7,78.9,54.2,57.1,50,60.4,64.9,80.5,84.2,75,81,52.3,72.8,Below Average,39.8,31.6,56.1,47.5,16.3,33.3,25,34.3,31.6,61,65,46.9,50,18.2,45.3,Organized,Neutral,Strong,Strong,Weak,Neutral,Neutral,,82.4,,2.4,95.4,94.1,96.6,96.4,No,No,1155122.862,1901415.832,-87.70581859,41.88529401,"(-87.70581859, 41.88529401)"
609798,Belding,Hiram H Belding Elementary School,4257 N Tripp Ave,Chicago,IL,60641,(773) 534-3590,http://www.beldingelementary.com,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,67.4,64.3,63.6,58.9,61.4,67.9,69.2,64.3,68.3,77.3,63,77.1,78.3,64.4,70.9,Average,52.1,66.7,46,45.9,52,61.9,66.7,56.4,47.8,62.7,41,48,39.7,50,47.7,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,47,63.8,2,1.8,95,94.5,96.2,95.9,Pending,No,1147266.366,1928184.928,-87.73398223,41.95890499,"(-87.73398223, 41.95890499)"
609799,Bell,Alexander Graham Bell Elementary School,3730 N Oakley Ave,Chicago,IL,60618,(773) 534-5150,http://www.agbellschool.com,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,61.9,51.9,58.9,63.1,68.9,73,66,63.2,68.8,46.7,63.9,60.2,71.4,52.7,60.5,Far Above Average,83.5,83.8,73.8,82.3,84.8,97.8,77.9,83.1,84.8,75.9,83.6,80.6,97.7,82.8,83.8,Well-organized,Very Strong,Strong,Neutral,Neutral,Strong,Very Strong,23.3,49.3,1.3,1.2,96.3,96.2,95.9,96.1,No,No,1160327.881,1924862.722,-87.68605496,41.94952795,"(-87.68605496, 41.94952795)"
609800,Bennett,Frank I Bennett Elementary School,10115 S Prairie Ave,Chicago,IL,60628,(773) 535-5460,,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 3,Yes,4,Scantron,Above Average,59.7,41.2,46.8,73.9,48.1,55.6,63.8,54.5,57.1,44.7,82.2,80.8,40,78.3,65,Below Average,38.2,20,22.6,46,29.8,38.1,34.6,31.4,23.2,32.1,63.3,57.1,40.5,55.8,45.1,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,71.1,,2,,92.5,93.1,95.9,95.7,No,No,1179742.916,1837880.076,-87.61735342,41.71041656,"(-87.61735342, 41.71041656)"
609803,Blaine,James G Blaine Elementary School,1420 W Grace St,Chicago,IL,60613,(773) 534-5750,http://www.blaine.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,57.2,60.3,53.1,64.8,55.1,66,73.9,60.7,52.2,62.4,47.2,60,51.7,40.9,53.8,Far Above Average,80.7,83.8,78.6,74.7,77.5,80.3,83,79.3,77.1,85.4,80,84.7,82.8,79.5,82,Organized,Strong,Strong,Strong,Weak,Neutral,Very Strong,38.1,56.5,3.4,2.2,96.4,96.4,96,96.5,No,No,1166063.167,1925373.268,-87.66495825,41.95080812,"(-87.66495825, 41.95080812)"
609804,Boone,Daniel Boone Elementary School,6710 N Washtenaw Ave,Chicago,IL,60645,(773) 534-2160,http://www.boone.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Average,45.6,53.7,42.9,46.8,33.3,54.7,48.9,47.1,75.9,31,37.8,20.4,53.7,34.7,44.1,Below Average,41.3,46.5,30.3,37.8,32.7,43.9,49.1,39.9,60,27.3,43.8,20.8,46.6,53.7,42.8,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Neutral,64.4,64.4,2.2,1.2,95.5,95.5,95.4,95.6,Pending,No,1157068.657,1944483.472,-87.69750011,42.00343519,"(-87.69750011, 42.00343519)"
609805,Joplin,Scott Joplin Elementary School,7931 S Honore St,Chicago,IL,60620,(773) 535-3425,http://www.scottjoplinschool.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,4,Scantron,Average,54.6,54.5,30.4,62.5,42.3,53.5,49.1,48.6,41.3,74.5,70.8,60.4,50,65.3,60.7,Below Average,37.9,26.9,23.5,36,34.5,53.1,33.3,34.4,21.2,45.1,56,36.8,42.9,47.4,41.5,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Weak,77.9,81,2.1,1.8,95,94.3,94.6,94.7,No,No,1165441.875,1851949.948,-87.66932903,41.74934082,"(-87.66932903, 41.74934082)"
609806,Bradwell,Myra Bradwell Communications Arts & Sciences ES,7736 S Burnham Ave,Chicago,IL,60649,(773) 535-6600,http://www.bradwell.cps.k12.il.us,AUSL Schools,Skyway Elementary Network,Standard,Level 2,Yes,6,NWEA,Above Average,65.9,75.8,56.9,83.7,67.3,82,57.1,70.1,72.1,27.5,77.6,64.3,54.5,71,61.7,Far Below Average,23.1,19.4,19.5,41,23.3,40.3,35.1,28.9,14.9,6.9,34.4,11.8,19.4,20.3,17.4,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,79.6,78.8,2.2,2.2,92.1,93.6,96.4,95.2,Yes,No,1196028.811,1854039.898,-87.55717881,41.7543734,"(-87.55717881, 41.7543734)"
609807,Hampton,Lionel Hampton Fine & Performing Arts ES,3434 W 77th St,Chicago,IL,60652,(773) 535-4030,,Midway Elementary Network,Midway Elementary Network,Track E,Level 2,No,0,Scantron,Average,48.2,50.8,49.3,47.6,52,52.2,50.8,50.5,53,54.2,44.4,34.7,57.4,32.3,46,Below Average,35.6,32.9,22.7,32.3,31.6,36,33.3,31.4,21.7,41.9,33.8,44.7,56.8,37.9,39.9,Moderately Organized,Neutral,Weak,Neutral,Strong,Neutral,Weak,18.6,21.3,2,1.7,95,94.5,96.6,96.5,No,No,1154672.983,1853379.243,-87.70875287,41.75348432,"(-87.70875287, 41.75348432)"
609808,Haley,Alex Haley Elementary Academy,11411 S Eggleston Ave,Chicago,IL,60628,(773) 535-5340,http://www.haley.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 2,No,0,Scantron,Average,45.2,35.3,41,25.5,40.6,48.8,59,40.2,44.6,71.1,40.7,35.9,64.3,61.5,50.3,Far Below Average,22,16.9,19.5,17.2,9,33.3,40,21,10.1,23.8,23.2,14.9,40,40,23.1,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,93.3,87.5,4.8,3.6,94.9,94.7,94.7,94.1,No,No,1175378.714,1829178.573,-87.63359476,41.68663682,"(-87.63359476, 41.68663682)"
609809,Brentano,Lorenz Brentano Math & Science Academy ES,2723 N Fairfield Ave,Chicago,IL,60647,(773) 534-4100,http://brentano.cps.k12.il.us/,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 3,Yes,1,Scantron,Average,51.9,51.3,51.9,54.3,63.6,44.1,48.7,52.2,71.8,73.3,61.1,33.3,37.1,35,51.6,Below Average,40.6,27.9,32.3,31.6,47.1,36.1,35.9,34.8,25.6,74.2,55.3,38.2,52.8,40,46.4,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,55.8,35.8,2.3,1.9,94.7,93.3,97.7,97,Pending,No,1157602.725,1918079.537,-87.69625758,41.93097047,"(-87.69625758, 41.93097047)"
609810,Bridge,Norman A Bridge Elementary School,3800 N New England Ave,Chicago,IL,60634,(773) 534-3718,http://www.bridge.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,72.2,47.6,56.8,71.6,76,67.7,69.3,64.8,76.7,87.7,76.1,82.3,78.3,76,79.4,Above Average,59.4,53.3,49.4,60.2,58.3,57.1,71.1,57.9,58.7,56.5,55.7,71.4,63,60.5,61,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Strong,18.8,18.6,1.5,2,95.6,95.2,96.6,96.1,No,No,1129684.056,1924513.932,-87.79870722,41.94915063,"(-87.79870722, 41.94915063)"
609811,Bright,Orville T Bright Elementary School,10740 S Calhoun Ave,Chicago,IL,60617,(773) 535-6215,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 3,Yes,4,Scantron,Above Average,60.3,69.2,50,60.7,73.3,82.1,57.1,66.7,71.8,48,53.6,57.4,50,34.5,54.1,Far Below Average,29.3,26.2,16,36.7,35.4,46.7,44.8,34.3,21.4,19.2,26.7,31.3,16.7,26.7,24.3,Partially Organized,Weak,Neutral,Strong,Weak,Neutral,Weak,61.4,73,3,2.9,92.2,91.3,95.3,95.6,No,No,1194858.644,1834119.778,-87.56212104,41.69973969,"(-87.56212104, 41.69973969)"
609812,"Brown, W",William H Brown Elementary School,54 N Hermitage Ave,Chicago,IL,60612,(773) 534-7250,http://www.wbrownschool.org,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 3,Yes,6,Scantron,Average,52.7,40,38.5,45.5,30.4,41.2,68,45.2,46.7,84.6,45.5,78.3,70.6,37.5,60.2,Below Average,33.8,31.3,7.1,36.4,25,27.8,36,27.8,31.3,21.4,45.5,37.5,55.6,44,39.8,Well-organized,Neutral,Very Strong,Very Strong,Very Strong,Strong,Neutral,57.1,64.2,1.8,2.2,92.8,91.6,94.7,96.6,No,No,1164687.109,1900646.996,-87.67071879,41.88298698,"(-87.67071879, 41.88298698)"
609813,Brownell,Charles S Brownell Elementary School,6741 S Michigan Ave,Chicago,IL,60637,(773) 535-3030,http://www.brownellschool.org,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,50.2,61.5,48.6,40,58.6,,,52.6,47.4,41.2,44.8,58.6,,,47.7,Far Below Average,22.6,22,11.1,12.9,13.3,,,15.2,24.4,22.9,30,46.7,,,30.1,Partially Organized,Weak,Strong,Strong,Very Weak,Very Weak,Neutral,100,97.4,2.2,2.1,92.8,91.3,95.5,95.3,No,No,1178368.986,1860177.542,-87.62170972,41.77163474,"(-87.62170972, 41.77163474)"
609815,Bouchet,Edward A Bouchet Math & Science Academy ES,7355 S Jeffery Blvd,Chicago,IL,60649,(773) 535-0501,,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 2,Yes,10,Scantron,Above Average,67.6,48.6,65.7,63,88.6,77,69.5,68.6,46.7,66.7,63.3,72,86.7,67.2,66.6,Far Below Average,28.8,23.3,28.8,20.3,26.6,47.1,46.9,31.5,17.6,30.6,24.6,13.6,50,23.8,26.1,Well-organized,Strong,Neutral,Very Strong,Very Strong,Very Strong,Weak,45.2,43.8,2.4,1.9,92.9,92,95.9,95.7,No,No,1190861.978,1856358.038,-87.57603849,41.76086093,"(-87.57603849, 41.76086093)"
609817,Budlong,Lyman A Budlong Elementary School,2701 W Foster Ave,Chicago,IL,60625,(773) 534-2591,http://www.budlongschool.com,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,63.9,35.6,61.4,61.5,66.7,50.8,76.6,59.2,75.4,72.9,83.1,54.5,62.9,63.5,68.7,Above Average,56,59,59.2,65.2,54.9,58.1,71.9,61.3,64.4,56.3,65.2,34.7,41.3,44.4,50.8,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Strong,22.4,24.6,2.2,1.4,95.4,93.1,95.7,96.1,No,No,1157387.173,1934388.087,-87.69660443,41.97572652,"(-87.69660443, 41.97572652)"
